,0,1,2,3,4,5,6,7,8,9,10,11,12,13
159,2043.0,0.13,3.76,3.89,0.41,9.170731707,1.38,273.06,29.77,0.03,3.89,423.0,0.094,0.45
160,4978.0,46.34,11.18,57.52,1.44,7.76,5.56,201.0,26.0,57.5,0.81,434.0,8.334532374,1.47
161,4636.0,22.64,8.45,31.09,1.66,5.09,1.82,464.0,91.0,31.1,0.73,440.0,12.43956044,0.76
162,3518.0,0.44,1.02,1.46,0.15,3.4,0.8,128.0,38.0,1.5,0.3,428.0,0.55,0.544
163,2100.0,0.14,13.06,13.2,0.36,36.28,2.12,617.2,17.01,13.2,0.01,417.0,0.066,0.35
164,1700.0,0.19,14.36,14.55,0.65,22.09,3.91,367.58,16.64,14.55,0.01,422.0,0.049,0.44
165,3290.0,0.02,0.05,0.07,0.33,0.151515152,0.51,9.803921569,64.70588235,0.1,0.28571428600000004,377.0,0.039215686,0.37
166,4930.0,36.59,10.74,47.33,1.59,6.75,4.65,231.0,34.0,47.3,0.77,435.0,7.868817204,0.67
167,2814.0,0.08,1.02,1.1,0.4,2.55,0.52,194.66,76.34,0.07,1.1,433.0,0.154,0.63
168,1986.0,0.16,6.79,6.95,0.75,9.053333333,1.74,389.78,43.05,0.02,6.95,423.0,0.092,0.45
169,4486.0,2.92,0.35,3.27,1.3,0.27,0.97,36.0,134.0,3.3,0.89,381.0,3.0103092780000003,-0.302
170,3458.0,0.46,0.52,0.98,0.15,3.47,0.56,93.0,27.0,1.0,0.47,336.0,0.8214285709999999,-1.112
171,2052.0,0.11,3.27,3.38,0.41,7.98,1.04,315.94,39.61,3.38,0.03,424.0,0.106,0.47
172,1965.0,0.19,12.64,12.83,0.49,25.79816327,2.07,610.39,23.66,0.01,12.83,415.0,0.092,0.31
173,5056.0,2.85,5.0,7.85,0.43,11.63,2.62,191.0,16.0,7.8,0.36,456.0,1.08778626,1.048
174,1740.0,0.24,17.88,18.12,0.7,25.54,4.08,438.67,17.17,18.12,0.01,421.0,0.059000000000000004,0.42
175,2034.0,0.13,5.43,5.56,0.44,12.34,1.6,340.44,27.59,5.56,0.02,423.0,0.081,0.45
176,4535.0,0.18,0.56,0.37,0.49,1.142857143,47.0,1.191489362,1.0425531909999999,0.68,0.243243243,424.0,0.0038297870000000003,0.47
177,3494.0,0.02,0.05,0.07,0.13,0.36,0.38,13.0,37.0,0.1,0.29,431.0,0.052631579000000005,0.598
178,1926.0,0.19,16.3,16.49,0.54,30.18,2.94,554.63,18.38,16.49,0.01,416.0,0.065,0.33
179,2028.0,0.12,2.58,2.7,0.42,6.131428571,1.02,252.72,41.22,0.04,2.7,424.0,0.11800000000000001,0.47
180,3482.0,0.06,0.08,0.16,0.38,0.21052631600000002,15.0,0.533333333,2.5333333330000003,0.25,0.428571429,397.0,0.004,0.01
181,2160.0,0.19,3.29,3.48,0.4,8.225,0.69,477.5,58.06,0.05,3.48,418.0,0.275,0.36
182,2472.0,0.12,1.82,1.94,0.37,4.918918918999999,0.73,249.66,50.75,0.06,1.94,423.0,0.16399999999999998,0.45
183,3350.0,0.08,0.14,0.22,0.28,0.5,0.51,27.45098039,54.90196078,0.2,0.363636364,434.0,0.156862745,0.65
184,2115.0,0.11,8.9,9.01,0.39,22.82,1.71,521.69,22.86,9.01,0.01,418.0,0.064,0.36
185,1932.0,0.15,7.9,8.05,0.8,9.87,1.45,543.3,55.02,8.05,0.02,421.0,0.10300000000000001,0.42
186,1673.0,0.2,13.06,13.26,0.67,19.49850746,3.46,377.79,19.38,0.02,13.26,422.0,0.057999999999999996,0.44
187,4648.0,0.03,0.06,0.03,1.0,0.06,75.0,0.08,1.333333333,0.5,0.333333333,350.0,0.0004,0.86
188,4636.0,0.04,0.08,0.2,0.2,0.4,44.0,0.181818182,0.454545455,0.5,0.333333333,337.0,0.0009090910000000001,1.09
189,3998.0,0.83,3.1,1.0,0.83,3.734939759,115.0,2.6956521739999997,0.72173913,0.73,0.21119592899999998,416.0,0.007217391,0.34
190,3820.0,0.16,2.4,2.56,0.75,3.2,1.15,209.06,65.33,2.56,0.06,439.0,0.13937281,0.74
191,3368.0,0.05,0.03,0.08,0.25,0.12,0.5,6.0,50.0,0.1,0.63,300.0,0.1,-1.76
192,2475.0,0.13,1.94,2.07,0.28,6.928571429,0.68,285.71,41.24,0.06,2.07,424.0,0.191,0.47
193,2055.0,0.11,3.64,3.75,0.36,10.11,1.19,306.4,30.3,3.75,0.03,424.0,0.092,0.47
194,3374.0,0.28,0.42,0.46,0.61,0.68852459,41.0,1.0243902440000001,1.4878048780000002,0.33,0.4,390.0,0.006829268,0.14
195,2157.0,0.21,4.15,4.36,0.38,10.92105263,0.88,473.74,43.38,0.05,4.36,419.0,0.239,0.38
196,1902.0,0.19,10.48,10.67,0.45,23.3,1.9,550.6,23.63,10.67,0.02,417.0,0.1,0.35
197,4139.0,1.0,0.55,1.55,0.65,0.85,0.55,100.0,118.0,1.6,0.65,429.0,1.8181818180000002,0.562
198,3806.0,0.11,0.14,0.41,0.27,0.518518519,92.0,0.152173913,0.293478261,0.48,0.44,409.0,0.001195652,0.21
199,4181.0,0.62,1.85,0.83,0.75,2.4666666669999997,83.0,2.228915663,0.903614458,0.66,0.251012146,422.0,0.00746988,0.44
200,4992.0,0.17,0.2,0.37,0.34,0.59,0.16,125.0,213.0,0.4,0.46,383.0,1.0625,-0.266
201,2043.0,0.13,3.76,3.89,0.41,9.17,1.38,273.06,29.77,3.89,0.03,423.0,0.094,0.45
202,2700.0,0.09,1.07,1.16,0.45,2.38,0.59,181.97,76.53,1.16,0.08,428.0,0.153,0.54
203,3962.0,3.8,1.24,5.04,0.95,1.31,0.9,138.0,106.0,5.0,0.75,418.0,4.222222222,0.364
204,2718.0,0.11,2.38,2.48,0.41,5.792682927,1.04,228.59,39.46,0.04,2.48,429.0,0.106,0.56
205,4200.0,4.39,5.93,10.32,0.96,6.18,4.21,141.0,23.0,10.3,0.43,445.0,1.0427553440000001,0.85
206,3512.0,0.04,0.11,0.15,0.2,0.73,0.4,28.0,38.0,0.2,0.27,430.0,0.1,0.58
207,3904.0,0.41,1.01,0.65,0.63,1.603174603,132.0,0.765151515,0.477272727,0.59,0.288732394,414.0,0.003106061,0.28
208,4599.0,0.08,0.06,0.14,0.19,0.32,0.14,43.0,136.0,0.1,0.57,402.0,0.571428571,0.076
209,3050.0,1.47,7.16,8.63,0.55,13.02,1.84,388.92,29.88,8.63,0.17,429.0,0.797866063,0.56
210,2025.0,0.12,3.09,3.21,0.45,6.86,1.5,205.63,29.96,3.21,0.04,425.0,0.08,0.49
211,4148.0,0.85,0.48,1.33,0.75,0.64,0.55,87.0,136.0,1.3,0.64,430.0,1.545454545,1.22
212,2475.0,0.13,1.94,2.07,0.28,6.93,0.68,285.71,41.24,2.07,0.06,424.0,0.191,0.47
213,4549.0,30.32,9.46,39.78,1.55,6.1,2.14,442.0,72.0,39.8,0.76,439.0,14.168224300000002,0.742
214,2541.0,0.23,1.77,2.0,0.81,2.19,0.65,274.42,125.58,2.0,0.12,424.0,0.354,0.47
215,3003.0,0.08,2.08,2.16,0.31,6.71,0.89,234.5,34.95,2.16,0.04,431.0,0.09,0.6
216,1899.0,0.23,13.33,13.56,0.48,27.77083333,2.82,473.37,17.05,0.02,13.56,417.0,0.08199999999999999,0.35
217,2964.0,0.09,1.68,1.77,0.33,5.09,0.68,248.89,48.89,1.77,0.05,431.0,0.132,0.6
218,3250.0,0.48,2.4,2.88,0.46,5.22,1.02,234.38,44.92,2.88,0.17,431.0,0.465491561,0.6
