Depth,S1,S2,S3,TOC,PP,Tmax,classes
3009,0.07,1.45,0.38,0.67,0.05,430,Poor/Fair
3012,0.06,1.08,0.34,0.52,0.05,431,Poor/Fair
3018,0.08,1.69,0.4,0.79,0.05,430,Poor/Fair
3021,0.08,1.82,0.49,0.88,0.04,431,Poor/Fair
3045,0.08,0.78,0.6,0.64,0.09,434,Poor/Fair
3045,0.08,0.78,0.6,0.48,0.09,434,Poor
1673,0.2,13.06,0.67,3.46,13.26,422,Excellent/Very Good
1680,0.21,14.99,0.63,3.38,15.2,419,Excellent/Very Good
1690,0.2,13.39,0.7,3.16,13.59,420,Excellent/Very Good
1700,0.19,14.36,0.65,3.91,14.55,422,Excellent/Very Good
1710,0.14,15.73,0.85,4.07,15.87,421,Excellent
1720,0.21,13.21,0.69,3.83,13.42,422,Excellent/Very Good
1730,0.22,15.25,0.73,3.87,15.47,421,Excellent/Very Good
1740,0.24,17.88,0.7,4.08,18.12,421,Excellent
1750,0.22,13.97,0.57,3.76,14.19,422,Excellent/Very Good
1760,0.16,9.95,0.57,2.6,10.11,423,Excellent/Very Good
1770,0.18,16.45,0.71,3.8,16.63,420,Excellent/Very Good
1780,0.17,8.04,0.54,2.63,8.21,425,Very Good/Poor
1790,0.23,16.64,0.64,3.94,16.87,417,Excellent/Very Good
1800,0.31,21.73,0.7,4.11,22.04,417,Excellent
1804,0.64,5.24,3.35,1.03,5.88,437,Good/Good
1806,0.4,33.64,0.71,6.27,34.04,418,Excellent
1809,0.32,26.62,0.71,4.94,26.94,420,Excellent
1812,0.25,17.74,0.58,3.67,17.99,421,Excellent/Very Good
1815,0.28,17.85,0.53,3.88,18.13,421,Excellent/Very Good
1818,0.3,21.33,0.58,4.3,21.63,421,Excellent
1821,0.26,15.69,0.51,3.48,15.95,422,Excellent/Very Good
1824,0.19,15.93,0.51,3.42,16.12,419,Excellent/Very Good
1827,0.2,10.65,0.5,2.74,10.85,422,Excellent/Very Good
1830,0.22,10.3,0.48,2.67,10.52,422,Excellent/Very Good
1833,0.15,11.55,0.7,2.77,11.7,422,Excellent/Very Good
1836,0.19,10.39,0.53,2.49,10.58,422,Excellent/Very Good
1839,0.2,11.35,0.54,2.81,11.55,421,Excellent/Very Good
1842,0.22,15.66,0.54,3.36,15.88,420,Excellent/Very Good
1845,0.23,19.52,0.6,4.04,19.75,417,Excellent
1848,0.32,20.14,0.68,4.03,20.46,417,Excellent
1851,0.26,19.89,0.63,4.29,20.15,416,Excellent
1854,0.28,21.03,0.57,4.12,21.31,416,Excellent
1857,0.28,21.44,0.58,4.27,21.72,415,Excellent
1860,0.19,26.97,0.68,4.78,27.16,414,Excellent
1863,0.3,22.45,0.55,4.14,22.75,415,Excellent
1866,0.13,5.07,0.52,1.93,5.2,417,Good/Good
1869,0.14,5.5,0.53,1.94,5.64,417,Good/Good
1872,0.12,4.27,0.61,1.43,4.39,420,Good/Good
